event_id,node_id,basin,start,end,duration_days,peak_discharge
BAT_BAT_20051120,BAT_BAT,Batticaloa,2005-11-20,2005-11-27,8,280.19
BAT_BAT_20080317,BAT_BAT,Batticaloa,2008-03-17,2008-03-18,2,136.72
BAT_BAT_20101204,BAT_BAT,Batticaloa,2010-12-04,2010-12-05,2,137.36
BAT_BAT_20101224,BAT_BAT,Batticaloa,2010-12-24,2011-01-23,31,398.02
BAT_BAT_20110201,BAT_BAT,Batticaloa,2011-02-01,2011-02-15,15,441.59
BAT_BAT_20111219,BAT_BAT,Batticaloa,2011-12-19,2011-12-26,8,205.06
BAT_BAT_20121223,BAT_BAT,Batticaloa,2012-12-23,2012-12-26,4,152.46
BAT_BAT_20130106,BAT_BAT,Batticaloa,2013-01-06,2013-01-12,7,290.74
BAT_BAT_20130124,BAT_BAT,Batticaloa,2013-01-24,2013-01-27,4,189.99
BAT_BAT_20131205,BAT_BAT,Batticaloa,2013-12-05,2013-12-07,3,209.38
BAT_BAT_20141126,BAT_BAT,Batticaloa,2014-11-26,2014-11-27,2,135.77
BAT_BAT_20141220,BAT_BAT,Batticaloa,2014-12-20,2015-01-04,16,388.94
BAT_BAT_20151027,BAT_BAT,Batticaloa,2015-10-27,2015-10-30,4,163.06
BAT_BAT_20181106,BAT_BAT,Batticaloa,2018-11-06,2018-11-11,6,362.08
BAT_BAT_20221227,BAT_BAT,Batticaloa,2022-12-27,2022-12-29,3,195.34
BAT_BAT_20231218,BAT_BAT,Batticaloa,2023-12-18,2023-12-19,2,132.35
BAT_BAT_20241127,BAT_BAT,Batticaloa,2024-11-27,2024-12-02,6,288.73
BAT_BAT_20241219,BAT_BAT,Batticaloa,2024-12-19,2024-12-20,2,230.21
BAT_ERA_20041215,BAT_ERA,Batticaloa,2004-12-15,2004-12-18,4,172.78
BAT_ERA_20051120,BAT_ERA,Batticaloa,2005-11-20,2005-11-27,8,280.84
BAT_ERA_20080317,BAT_ERA,Batticaloa,2008-03-17,2008-03-18,2,137.04
BAT_ERA_20101204,BAT_ERA,Batticaloa,2010-12-04,2010-12-05,2,138.32
BAT_ERA_20101224,BAT_ERA,Batticaloa,2010-12-24,2011-01-23,31,402.65
BAT_ERA_20110201,BAT_ERA,Batticaloa,2011-02-01,2011-02-15,15,445.68
BAT_ERA_20111219,BAT_ERA,Batticaloa,2011-12-19,2011-12-26,8,206.01
BAT_ERA_20121223,BAT_ERA,Batticaloa,2012-12-23,2012-12-26,4,153.88
BAT_ERA_20130106,BAT_ERA,Batticaloa,2013-01-06,2013-01-13,8,292.76
BAT_ERA_20130124,BAT_ERA,Batticaloa,2013-01-24,2013-01-27,4,191.75
BAT_ERA_20131205,BAT_ERA,Batticaloa,2013-12-05,2013-12-07,3,210.84
BAT_ERA_20141126,BAT_ERA,Batticaloa,2014-11-26,2014-11-27,2,137.04
BAT_ERA_20141220,BAT_ERA,Batticaloa,2014-12-20,2015-01-04,16,393.46
BAT_ERA_20151028,BAT_ERA,Batticaloa,2015-10-28,2015-10-30,3,164.96
BAT_ERA_20181106,BAT_ERA,Batticaloa,2018-11-06,2018-11-11,6,361.24
BAT_ERA_20201224,BAT_ERA,Batticaloa,2020-12-24,2020-12-24,1,127.53
BAT_ERA_20221227,BAT_ERA,Batticaloa,2022-12-27,2022-12-29,3,194.88
BAT_ERA_20231218,BAT_ERA,Batticaloa,2023-12-18,2023-12-19,2,133.59
BAT_ERA_20241127,BAT_ERA,Batticaloa,2024-11-27,2024-12-02,6,292.76
BAT_ERA_20241219,BAT_ERA,Batticaloa,2024-12-19,2024-12-20,2,234.5
BAT_VAL_20041104,BAT_VAL,Batticaloa,2004-11-04,2004-11-04,1,1.99
BAT_VAL_20041213,BAT_VAL,Batticaloa,2004-12-13,2004-12-18,6,2.87
BAT_VAL_20051119,BAT_VAL,Batticaloa,2005-11-19,2005-11-26,8,3.94
BAT_VAL_20080316,BAT_VAL,Batticaloa,2008-03-16,2008-03-17,2,2.06
BAT_VAL_20101203,BAT_VAL,Batticaloa,2010-12-03,2010-12-05,3,2.53
BAT_VAL_20101223,BAT_VAL,Batticaloa,2010-12-23,2011-01-20,29,6.83
BAT_VAL_20110201,BAT_VAL,Batticaloa,2011-02-01,2011-02-13,13,7.15
BAT_VAL_20111125,BAT_VAL,Batticaloa,2011-11-25,2011-11-25,1,2.05
BAT_VAL_20111219,BAT_VAL,Batticaloa,2011-12-19,2011-12-25,7,2.95
BAT_VAL_20121029,BAT_VAL,Batticaloa,2012-10-29,2012-10-30,2,3.61
BAT_VAL_20121222,BAT_VAL,Batticaloa,2012-12-22,2012-12-26,5,2.69
BAT_VAL_20130106,BAT_VAL,Batticaloa,2013-01-06,2013-01-11,6,4.3
BAT_VAL_20131204,BAT_VAL,Batticaloa,2013-12-04,2013-12-05,2,2.79
BAT_VAL_20141125,BAT_VAL,Batticaloa,2014-11-25,2014-11-27,3,2.48
BAT_VAL_20141220,BAT_VAL,Batticaloa,2014-12-20,2015-01-02,14,5.71
BAT_VAL_20151027,BAT_VAL,Batticaloa,2015-10-27,2015-10-29,3,2.54
BAT_VAL_20151114,BAT_VAL,Batticaloa,2015-11-14,2015-11-16,3,2.78
BAT_VAL_20160515,BAT_VAL,Batticaloa,2016-05-15,2016-05-16,2,2.78
BAT_VAL_20181105,BAT_VAL,Batticaloa,2018-11-05,2018-11-10,6,4.73
BAT_VAL_20201202,BAT_VAL,Batticaloa,2020-12-02,2020-12-02,1,1.95
BAT_VAL_20201222,BAT_VAL,Batticaloa,2020-12-22,2020-12-23,2,2.22
BAT_VAL_20221112,BAT_VAL,Batticaloa,2022-11-12,2022-11-13,2,2.18
BAT_VAL_20221226,BAT_VAL,Batticaloa,2022-12-26,2022-12-28,3,3.65
BAT_VAL_20241126,BAT_VAL,Batticaloa,2024-11-26,2024-12-01,6,5.64
BAT_VAL_20241219,BAT_VAL,Batticaloa,2024-12-19,2024-12-20,2,3.12
COL_KOL_20040926,COL_KOL,ColomboMetro,2004-09-26,2004-09-27,2,618.44
COL_KOL_20041101,COL_KOL,ColomboMetro,2004-11-01,2004-11-03,3,635.8
COL_KOL_20041109,COL_KOL,ColomboMetro,2004-11-09,2004-11-17,9,607.13
COL_KOL_20061020,COL_KOL,ColomboMetro,2006-10-20,2006-11-29,41,976.24
COL_KOL_20080315,COL_KOL,ColomboMetro,2008-03-15,2008-03-16,2,551.08
COL_KOL_20081020,COL_KOL,ColomboMetro,2008-10-20,2008-10-21,2,573.12
COL_KOL_20101203,COL_KOL,ColomboMetro,2010-12-03,2010-12-04,2,539.75
COL_KOL_20121028,COL_KOL,ColomboMetro,2012-10-28,2012-11-02,6,653.64
COL_KOL_20121108,COL_KOL,ColomboMetro,2012-11-08,2012-11-10,3,544.76
COL_KOL_20121127,COL_KOL,ColomboMetro,2012-11-27,2012-11-28,2,590.56
COL_KOL_20141222,COL_KOL,ColomboMetro,2014-12-22,2014-12-28,7,757.58
COL_KOL_20151018,COL_KOL,ColomboMetro,2015-10-18,2015-11-08,22,738.61
COL_KOL_20160515,COL_KOL,ColomboMetro,2016-05-15,2016-05-23,9,1204.04
COL_KOL_20171106,COL_KOL,ColomboMetro,2017-11-06,2017-11-06,1,553.63
